Price;A.J.;2013-14;MIN;1.6;0.5;0.4;0.0;0.0;0.3;41.3;0.7;27.3;0.2;0.0;0.0;3.5
Brooks;Aaron;2013-14;DEN;9.0;3.2;1.9;0.7;0.2;1.6;40.1;3.2;38.7;1.3;87.4;1.2;21.6
Gray;Aaron;2013-14;SAC;1.8;0.6;3.0;0.3;0.2;0.8;44.3;0.7;0.0;0.0;55.0;0.3;9.6
Thomas;Adonis;2013-14;PHI;2.3;0.5;0.5;0.0;0.0;0.2;42.9;1.0;20.0;0.2;100.0;0.2;6.3
Harrington;Al;2013-14;WAS;6.6;0.8;2.4;0.4;0.0;1.0;39.6;2.4;34.0;1.0;77.1;0.8;15.0
Horford;Al;2013-14;ATL;18.6;2.6;8.4;0.9;1.5;2.2;56.7;8.2;36.4;0.1;68.2;2.0;33.0
Jefferson;Al;2013-14;CHA;21.8;2.1;10.8;0.9;1.1;1.7;50.9;9.6;20.0;0.0;69.0;2.6;35.0
Aminu;Al-Farouq;2013-14;NOP;7.2;1.4;6.2;1.0;0.5;1.1;47.4;2.9;27.1;0.2;66.4;1.1;25.6
Anderson;Alan;2013-14;BKN;7.2;1.0;2.2;0.6;0.1;0.8;40.0;2.5;33.9;1.1;78.0;1.2;22.7
Burks;Alec;2013-14;UTA;14.0;2.7;3.3;0.9;0.2;1.9;45.7;4.9;35.0;0.6;74.8;3.6;28.1
Len;Alex;2013-14;PHX;2.0;0.1;2.4;0.1;0.4;0.6;42.3;0.8;0.0;0.0;64.5;0.5;8.6
Shved;Alexey;2013-14;MIN;4.0;1.1;1.3;0.4;0.3;0.8;32.1;1.2;29.4;0.5;75.6;1.1;10.5
Ajinca;Alexis;2013-14;NOP;5.9;0.7;4.9;0.4;0.8;1.1;54.6;2.4;0.0;0.0;83.6;1.0;17.0
Crabbe;Allen;2013-14;POR;2.2;0.4;0.6;0.1;0.1;0.2;36.4;0.8;42.9;0.4;75.0;0.2;6.7
Gee;Alonzo;2013-14;CLE;4.0;0.7;2.3;0.6;0.2;0.7;41.5;1.5;32.8;0.3;70.5;0.7;15.7
Stoudemire;Amar'e;2013-14;NYK;11.9;0.5;4.9;0.4;0.6;1.4;55.7;4.8;0.0;0.0;73.9;2.3;22.6
Johnson;Amir;2013-14;TOR;10.4;1.5;6.6;0.7;1.1;1.6;56.2;4.5;30.3;0.3;63.6;1.2;28.8
Varejao;Anderson;2013-14;CLE;8.4;2.2;9.7;1.1;0.6;1.1;49.5;3.5;0.0;0.0;68.1;1.4;27.7
Blatche;Andray;2013-14;BKN;11.2;1.5;5.3;1.0;0.5;1.5;47.6;4.4;27.8;0.2;74.2;2.2;22.2
Drummond;Andre;2013-14;DET;13.5;0.4;13.2;1.2;1.6;1.4;62.3;5.9;0.0;0.0;41.8;1.7;32.3
Iguodala;Andre;2013-14;GSW;9.3;4.2;4.7;1.5;0.3;1.6;48.0;3.5;35.4;1.0;65.2;1.4;32.4
Miller;Andre;2013-14;WAS;4.9;3.4;2.2;0.6;0.2;1.1;45.9;1.8;52.4;0.2;77.9;1.0;16.9
Roberson;Andre;2013-14;OKC;1.9;0.4;2.4;0.5;0.3;0.5;48.5;0.8;15.4;0.1;70.0;0.2;10.0
Bargnani;Andrea;2013-14;NYK;13.3;1.1;5.3;0.3;1.2;1.4;44.2;5.3;27.8;0.7;82.4;2.0;29.9
Kirilenko;Andrei;2013-14;BKN;5.0;1.6;3.2;0.9;0.4;1.2;51.3;1.8;20.0;0.0;51.3;1.4;19.1
Bogut;Andrew;2013-14;GSW;7.3;1.7;10.0;0.7;1.8;1.4;62.7;3.5;0.0;0.0;34.4;0.3;26.4
Bynum;Andrew;2013-14;IND;8.7;1.1;5.6;0.2;1.1;1.3;41.8;3.6;0.0;0.0;75.5;1.4;19.8
Nicholson;Andrew;2013-14;ORL;5.7;0.3;3.4;0.2;0.3;0.7;42.9;2.4;31.5;0.4;82.5;0.6;15.4
Biedrins;Andris;2013-14;UTA;0.5;0.0;2.8;0.0;0.0;0.3;100.0;0.2;0.0;0.0;16.7;0.2;7.4
Jamison;Antawn;2013-14;LAC;3.8;0.3;2.5;0.4;0.1;0.3;31.5;1.3;19.5;0.4;72.0;0.8;11.3
Bennett;Anthony;2013-14;CLE;4.2;0.3;3.0;0.4;0.2;0.9;35.6;1.5;24.5;0.3;63.8;0.8;12.7
Davis;Anthony;2013-14;NOP;20.8;1.6;10.0;1.3;2.8;1.6;51.9;7.8;22.2;0.0;79.1;5.2;35.2
Morrow;Anthony;2013-14;NOP;8.4;0.8;1.8;0.5;0.2;0.7;45.8;3.1;45.1;1.2;82.8;0.9;18.8
Randolph;Anthony;2013-14;DEN;4.8;0.7;2.8;0.6;0.4;0.9;38.6;1.6;29.5;0.4;75.4;1.2;12.2
Tolliver;Anthony;2013-14;CHA;6.1;0.7;2.6;0.3;0.2;0.4;42.0;2.0;41.3;1.6;80.5;0.5;20.3
Goodwin;Archie;2013-14;PHX;3.7;0.4;1.7;0.4;0.2;0.8;45.5;1.5;13.9;0.1;67.3;0.7;10.2
Onuaku;Arinze;2013-14;CLE;0.6;0.6;1.6;0.0;0.0;0.2;20.0;0.2;0.0;0.0;50.0;0.2;6.0
Moultrie;Arnett;2013-14;PHI;3.0;0.2;2.9;0.7;0.3;0.6;42.1;1.3;0.0;0.0;80.0;0.3;15.6
Baynes;Aron;2013-14;SAS;3.0;0.6;2.7;0.0;0.1;0.7;43.6;1.3;0.0;0.0;90.5;0.4;9.3
Afflalo;Arron;2013-14;ORL;18.2;3.4;3.6;0.5;0.0;2.0;45.9;6.4;42.7;1.8;81.5;3.8;35.0
Daye;Austin;2013-14;SAS;3.0;0.4;1.2;0.2;0.2;0.2;35.3;1.1;32.4;0.5;60.0;0.3;6.7
Rivers;Austin;2013-14;NOP;7.7;2.3;1.9;0.7;0.1;1.1;40.5;2.8;36.4;0.5;63.6;1.6;19.4
Bradley;Avery;2013-14;BOS;14.9;1.4;3.8;1.1;0.2;1.6;43.8;6.0;39.5;1.3;80.4;1.5;30.9
Gordon;Ben;2013-14;CHA;5.2;1.1;1.4;0.5;0.1;1.1;34.3;1.9;27.6;0.4;81.0;0.9;14.7
McLemore;Ben;2013-14;SAC;8.8;1.0;2.9;0.5;0.2;1.2;37.6;3.1;32.0;1.2;80.4;1.4;26.7
Udrih;Beno;2013-14;MEM;4.9;2.8;1.4;0.6;0.1;1.1;43.8;1.9;45.2;0.5;83.3;0.6;15.7
James;Bernard;2013-14;DAL;0.9;0.1;1.4;0.1;0.3;0.3;47.8;0.4;0.0;0.0;54.5;0.2;4.9
Biyombo;Bismack;2013-14;CHA;2.9;0.1;4.8;0.1;1.1;0.5;61.1;1.1;0.0;0.0;51.7;0.6;13.9
Griffin;Blake;2013-14;LAC;24.1;3.9;9.5;1.2;0.6;2.8;52.8;9.0;27.3;0.2;71.5;6.0;35.8
Diaw;Boris;2013-14;SAS;9.1;2.8;4.1;0.6;0.4;1.5;52.1;3.8;40.2;0.6;73.9;0.9;25.0
Beal;Bradley;2013-14;WAS;17.1;3.3;3.7;1.0;0.2;1.8;41.9;6.6;40.2;1.9;78.8;2.0;34.7
Wright;Brandan;2013-14;DAL;9.1;0.5;4.2;0.6;0.9;0.6;67.7;3.9;0.0;0.0;72.6;1.3;18.6
Bass;Brandon;2013-14;BOS;11.1;1.1;5.7;0.4;0.9;1.2;48.6;4.3;33.3;0.0;85.8;2.5;27.6
Davies;Brandon;2013-14;PHI;2.8;0.5;2.1;0.5;0.2;0.7;42.2;1.1;20.0;0.0;64.2;0.7;11.3
Jennings;Brandon;2013-14;DET;15.5;7.6;3.1;1.3;0.1;2.7;37.3;5.3;33.7;1.9;75.1;3.0;34.1
Knight;Brandon;2013-14;MIL;17.9;4.9;3.5;1.0;0.2;2.6;42.2;6.4;32.5;1.5;80.2;3.6;33.3
Rush;Brandon;2013-14;UTA;2.1;0.6;1.2;0.1;0.2;0.5;33.3;0.8;34.0;0.4;60.0;0.1;11.0
Roberts;Brian;2013-14;NOP;9.4;3.3;1.9;0.6;0.1;1.3;42.0;3.4;36.0;0.9;94.0;1.7;23.2
Lopez;Brook;2013-14;BKN;20.7;0.9;6.0;0.5;1.8;1.6;56.3;7.6;0.0;0.0;81.7;5.5;31.4
Mullens;Byron;2013-14;PHI;4.2;0.3;2.0;0.3;0.2;0.6;44.2;1.6;37.1;0.7;50.0;0.2;9.2
McCollum;CJ;2013-14;POR;5.3;0.7;1.3;0.4;0.1;0.9;41.6;1.9;37.5;0.8;67.6;0.6;12.5
Miles;CJ;2013-14;CLE;9.9;1.0;2.0;0.9;0.3;0.9;43.5;3.5;39.3;1.6;85.3;1.3;19.3
Watson;CJ;2013-14;IND;6.6;1.7;1.6;1.0;0.1;1.0;43.7;2.3;36.6;0.8;78.4;1.1;18.9
Landry;Carl;2013-14;SAC;4.2;0.3;3.2;0.2;0.1;0.5;51.7;1.7;0.0;0.0;82.4;0.8;12.9
Boozer;Carlos;2013-14;CHI;13.7;1.6;8.3;0.7;0.3;2.0;45.6;5.9;0.0;0.0;76.7;1.9;28.2
Anthony;Carmelo;2013-14;NYK;27.4;3.1;8.1;1.2;0.7;2.6;45.2;9.6;40.2;2.2;84.8;6.0;38.7
Butler;Caron;2013-14;OKC;10.5;1.5;4.1;0.8;0.3;1.1;39.4;3.8;39.4;1.8;84.0;1.1;25.3
Felix;Carrick;2013-14;CLE;2.7;0.6;0.9;0.0;0.0;0.6;50.0;1.0;40.0;0.3;75.0;0.4;5.4
Martin;Cartier;2013-14;ATL;5.6;0.6;1.9;0.5;0.1;0.6;42.0;1.9;39.1;1.0;73.8;0.8;14.7
Ware;Casper;2013-14;PHI;5.3;1.1;1.0;0.9;0.0;0.6;42.9;2.0;33.3;0.8;83.3;0.6;12.9
Parsons;Chandler;2013-14;HOU;16.6;4.0;5.5;1.2;0.4;1.9;47.2;6.3;37.0;1.8;74.2;2.2;37.6
Frye;Channing;2013-14;PHX;11.1;1.2;5.1;0.7;0.8;1.1;43.2;4.1;37.0;2.0;82.1;1.0;28.2
Hayes;Charles;2013-14;TOR;2.2;0.6;3.4;0.6;0.2;0.5;43.1;0.9;0.0;0.0;80.0;0.3;12.4
Villanueva;Charlie;2013-14;DET;4.6;0.3;1.7;0.2;0.3;0.4;38.0;1.8;25.0;0.7;57.1;0.4;9.0
Budinger;Chase;2013-14;MIN;6.7;0.8;2.5;0.5;0.0;0.6;39.4;2.4;35.0;1.0;82.1;0.8;18.3
Billups;Chauncey;2013-14;DET;3.8;2.2;1.5;0.4;0.1;1.3;30.4;1.3;29.2;0.7;83.3;0.5;16.3
Andersen;Chris;2013-14;MIA;6.6;0.3;5.3;0.4;1.3;0.7;64.4;2.5;25.0;0.0;71.0;1.7;19.4
Babb;Chris;2013-14;BOS;1.6;0.2;1.2;0.4;0.0;0.2;26.7;0.6;22.2;0.4;0.0;0.0;9.5
Bosh;Chris;2013-14;MIA;16.2;1.1;6.6;1.0;1.0;1.6;51.6;6.2;33.9;0.9;82.0;2.8;32.0
Copeland;Chris;2013-14;IND;3.7;0.4;0.8;0.1;0.2;0.3;47.0;1.3;41.8;0.8;71.4;0.2;6.5
Douglas-Roberts;Chris;2013-14;CHA;6.9;1.0;2.4;0.6;0.3;0.7;44.0;2.3;38.6;1.0;80.5;1.3;20.7
Johnson;Chris;2013-14;BOS;6.3;0.8;2.4;0.7;0.1;0.6;39.7;2.1;33.9;1.1;86.0;0.9;19.7
Kaman;Chris;2013-14;LAL;10.4;1.5;5.9;0.3;1.0;1.9;50.9;4.5;0.0;0.0;76.5;1.3;18.9
Paul;Chris;2013-14;LAC;19.1;10.7;4.3;2.5;0.1;2.3;46.7;6.5;36.8;1.3;85.5;4.8;35.0
Singleton;Chris;2013-14;WAS;3.0;0.2;2.2;0.4;0.1;0.7;37.3;1.0;36.8;0.3;72.0;0.7;10.0
Smith;Chris;2013-14;NYK;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Wright;Chris;2013-14;MIL;6.0;0.6;2.5;0.9;0.6;0.6;60.0;2.6;0.0;0.0;40.0;0.8;15.7
Zeller;Cody;2013-14;CHA;6.0;1.1;4.3;0.5;0.5;1.1;42.6;2.1;0.0;0.0;73.0;1.8;17.3
Aldrich;Cole;2013-14;NYK;2.0;0.3;2.8;0.2;0.7;0.4;54.1;0.7;0.0;0.0;86.7;0.6;7.2
Brewer;Corey;2013-14;MIN;12.3;1.7;2.6;1.9;0.4;1.3;48.1;4.8;28.0;0.7;71.8;2.0;32.2
Joseph;Cory;2013-14;SAS;5.0;1.7;1.6;0.5;0.2;0.6;47.5;1.9;31.6;0.2;82.3;1.2;13.8
Lee;Courtney;2013-14;MEM;9.6;1.5;2.4;0.8;0.4;0.9;48.0;3.7;37.1;0.9;88.4;1.3;25.0
Augustin;D.J.;2013-14;CHI;13.1;4.4;1.8;0.7;0.0;1.8;41.5;4.2;40.1;1.9;88.5;2.8;27.3
Stephens;DJ;2013-14;MIL;2.3;0.0;1.7;0.0;0.0;0.0;42.9;1.0;0.0;0.0;100.0;0.3;4.9
White;DJ;2013-14;CHA;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.1
Lillard;Damian;2013-14;POR;20.7;5.6;3.5;0.8;0.3;2.4;42.4;6.7;39.4;2.7;87.1;4.5;35.8
James;Damion;2013-14;SAS;1.2;0.6;2.4;0.0;0.2;0.2;22.2;0.4;0.0;0.0;100.0;0.4;10.1
Orton;Daniel;2013-14;PHI;3.0;0.7;2.8;0.3;0.7;0.8;44.7;1.0;0.0;0.0;76.7;1.0;11.4
Granger;Danny;2013-14;LAC;8.2;1.0;3.2;0.3;0.4;1.1;37.8;2.8;33.6;1.0;94.0;1.5;20.7
Green;Danny;2013-14;SAS;9.1;1.5;3.4;1.0;0.9;1.1;43.2;3.2;41.5;1.9;79.4;0.7;24.3
Cunningham;Dante;2013-14;MIN;6.3;1.0;4.1;0.8;0.7;0.5;46.4;2.9;0.0;0.0;56.7;0.5;20.2
Johnson-Odom;Darius;2013-14;PHI;0.0;0.3;0.7;0.3;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;5.1
Miller;Darius;2013-14;NOP;4.4;1.0;1.2;0.5;0.2;0.5;44.0;1.6;32.5;0.6;80.6;0.6;16.1
Morris;Darius;2013-14;MEM;4.0;1.6;1.0;0.5;0.0;1.0;40.6;1.4;31.6;0.4;65.4;0.6;11.6
Arthur;Darrell;2013-14;DEN;5.9;0.9;3.1;0.6;0.7;0.9;39.5;2.4;37.5;0.4;85.5;0.8;17.1
Collison;Darren;2013-14;LAC;11.4;3.7;2.4;1.2;0.2;1.7;46.7;4.1;37.6;0.9;85.7;2.4;25.9
Lee;David;2013-14;GSW;18.2;2.1;9.3;0.7;0.4;2.2;52.3;7.4;0.0;0.0;78.0;3.3;33.2
West;David;2013-14;IND;14.0;2.8;6.8;0.8;0.9;1.7;48.8;5.7;26.7;0.1;78.9;2.5;30.9
Jordan;DeAndre;2013-14;LAC;10.4;0.9;13.6;1.0;2.5;1.5;67.6;4.2;0.0;0.0;42.8;2.0;35.0
Liggins;DeAndre;2013-14;MIA;2.0;0.0;1.0;0.0;0.0;0.0;100.0;1.0;0.0;0.0;0.0;0.0;1.4
Blair;DeJuan;2013-14;DAL;6.4;0.9;4.7;0.8;0.3;1.0;53.4;2.7;0.0;0.0;63.6;1.0;15.6
DeRozan;DeMar;2013-14;TOR;22.7;4.0;4.3;1.1;0.4;2.2;42.9;7.6;30.5;0.8;82.4;6.6;38.2
Cousins;DeMarcus;2013-14;SAC;22.7;2.9;11.7;1.5;1.3;3.5;49.6;8.3;0.0;0.0;72.6;6.1;32.4
Carroll;DeMarre;2013-14;ATL;11.1;1.8;5.5;1.5;0.3;1.1;47.0;4.1;36.2;1.3;77.3;1.5;32.1
Schroder;Dennis;2013-14;ATL;3.7;1.9;1.2;0.3;0.0;1.2;38.3;1.5;23.8;0.2;67.4;0.6;13.1
Fisher;Derek;2013-14;OKC;5.2;1.4;1.5;0.9;0.0;0.6;39.1;1.7;38.4;1.1;77.5;0.7;17.6
Williams;Deron;2013-14;BKN;14.3;6.1;2.6;1.5;0.2;2.2;45.0;5.0;36.6;1.5;80.1;2.7;32.2
Favors;Derrick;2013-14;UTA;13.3;1.2;8.7;1.0;1.5;1.8;52.2;5.3;0.0;0.0;66.9;2.6;30.2
Rose;Derrick;2013-14;CHI;15.9;4.3;3.2;0.5;0.1;3.4;35.4;5.8;34.0;1.6;84.4;2.7;31.1
Williams;Derrick;2013-14;SAC;8.0;0.7;4.1;0.6;0.3;1.0;42.7;2.6;26.3;0.3;71.8;2.4;23.3
Harris;Devin;2013-14;DAL;7.9;4.5;2.1;0.7;0.1;1.5;37.8;2.4;30.7;0.8;80.0;2.3;20.4
Dedmon;Dewayne;2013-14;ORL;3.1;0.2;4.1;0.2;0.7;0.6;45.8;1.2;0.0;0.0;65.6;0.7;12.6
